file,CD0,CDa,CL0,CLa,R2_Total,RMSE_m,SSE
IMG_5057,1.0,2.0,0.0,5.0,-95.11038026305428,1.0157846982851473,41.2727421308099
IMG_5055,1.0,2.0,1.0,3.1370544127632306e-17,-3.364522507339597,9.104791695625691,9781.873354846679
IMG_5056,0.2715282929212447,1.1863602727385005,0.18987990294274842,0.9692568414697647,0.979970266296781,0.013359634150551853,0.0007139192985463652
