file,CD0,CDa,CL0,CLa,R2,RMSE_m
Trial1,1.0,2.0,1.0,0.0,-3.364522507339598,6.438059949267891
Trial2,0.2715280380829128,1.1863600307482474,0.18987966713542426,0.9692559158562665,0.9799702662871553,0.00944668790429648
Trial3,1.0,2.0,0.0,5.0,-95.11038026305428,0.7182682483829588
