Frame,X_px,Y_px,Time_s,X_m,Y_m
1,1001.4548,420.71524,0.03333333333333333,0.0,-0.0
2,1009.03076,420.81033,0.06666666666666667,0.04827491,-0.00060594
3,1006.9031,420.0791,0.1,0.034717098,0.0040535363
4,1005.07904,419.8964,0.13333333333333333,0.023094172,0.0052177734
5,1003.4383,419.97058,0.16666666666666666,0.012639178,0.004745039
6,1002.24146,420.36365,0.2,0.005012812,0.0022403835
7,1001.1782,420.58557,0.23333333333333334,-0.0017622042,0.00082626415
8,1000.45404,420.60474,0.26666666666666666,-0.00637676,0.00070414273
9,999.761,421.36096,0.3,-0.010792966,-0.004114597
10,998.98175,421.91373,0.3333333333333333,-0.01575833,-0.0076368665
11,998.1934,422.32382,0.36666666666666664,-0.020781642,-0.010250032
12,997.2175,422.71292,0.4,-0.027000112,-0.012729407
13,996.0611,422.9944,0.43333333333333335,-0.03436901,-0.014522919
14,995.2517,423.2344,0.4666666666666667,-0.039526504,-0.016052354
15,994.36847,423.4142,0.5,-0.045154586,-0.017198117
16,993.5867,423.6698,0.5333333333333333,-0.050136287,-0.018826727
17,992.95996,423.9045,0.5666666666666667,-0.054129735,-0.020322327
18,992.4592,424.1886,0.6,-0.05732045,-0.022132562
19,991.8833,424.5521,0.6333333333333333,-0.06099031,-0.024448786
20,991.2356,424.95825,0.6666666666666666,-0.06511755,-0.027036864
21,990.5922,425.43204,0.7,-0.069217175,-0.03005587
22,990.0139,426.00952,0.7333333333333333,-0.07290221,-0.03373565
23,989.2608,426.48007,0.7666666666666667,-0.077701114,-0.036734045
24,988.6284,426.99545,0.8,-0.08173073,-0.0400181
25,987.6363,427.27994,0.8333333333333334,-0.08805265,-0.041830864
26,986.85944,427.6169,0.8666666666666667,-0.09300285,-0.0439781
27,986.0383,428.09286,0.9,-0.09823501,-0.04701091
28,985.2691,428.35403,0.9333333333333333,-0.10313659,-0.04867511
29,984.46063,428.44662,0.9666666666666667,-0.10828825,-0.0492651
30,983.8708,428.66312,1.0,-0.112046786,-0.050644606
31,982.9196,429.0695,1.0333333333333334,-0.11810774,-0.05323405
32,982.19116,429.23856,1.0666666666666667,-0.12274952,-0.05431136
33,981.4238,429.49207,1.1,-0.12763904,-0.055926748
34,980.7264,429.72128,1.1333333333333333,-0.13208325,-0.05738734
35,980.0125,430.0842,1.1666666666666667,-0.13663208,-0.05969987
36,979.3345,430.39807,1.2,-0.14095262,-0.0616999
37,978.84814,430.68753,1.2333333333333334,-0.14405154,-0.06354436
38,978.22894,431.02466,1.2666666666666666,-0.14799716,-0.065692574
39,977.68164,431.35938,1.3,-0.15148461,-0.067825414
40,976.72784,431.5386,1.3333333333333333,-0.1575623,-0.068967484
41,976.04865,431.8265,1.3666666666666667,-0.16189021,-0.07080203
42,975.3882,432.2501,1.4,-0.16609874,-0.07350115
43,974.6816,432.47232,1.4333333333333333,-0.17060128,-0.07491721
44,974.1386,433.12216,1.4666666666666666,-0.17406113,-0.07905806
45,973.54297,433.3497,1.5,-0.17785662,-0.08050796
46,973.08154,433.7128,1.5333333333333334,-0.18079686,-0.08282165
47,972.7336,433.9789,1.5666666666666667,-0.18301411,-0.08451735
48,972.08887,434.43558,1.6,-0.18712229,-0.087427266
49,971.8479,434.70007,1.6333333333333333,-0.18865775,-0.08911266
50,971.5801,435.41882,1.6666666666666667,-0.19036435,-0.0936926
51,971.32227,435.60007,1.7,-0.19200714,-0.0948475
52,970.9878,436.18103,1.7333333333333334,-0.19413844,-0.098549455
53,970.7407,436.54575,1.7666666666666666,-0.19571279,-0.100873455
54,970.65625,436.8557,1.8,-0.19625106,-0.1028486
55,970.50635,437.40366,1.8333333333333333,-0.19720624,-0.10634014
56,970.374,437.8801,1.8666666666666667,-0.19804943,-0.109376065
57,970.3623,438.30856,1.9,-0.19812411,-0.11210629
58,970.1452,438.77832,1.9333333333333333,-0.1995075,-0.11509963
59,970.05194,439.11426,1.9666666666666666,-0.20010178,-0.11724025
60,969.78973,439.45923,2.0,-0.20177259,-0.11943844
61,969.57855,439.718,2.033333333333333,-0.20311825,-0.121087275
62,969.3571,439.99063,2.066666666666667,-0.20452926,-0.12282459
63,969.3325,439.9545,2.1,-0.20468599,-0.12259434
64,969.1174,440.5316,2.1333333333333333,-0.20605694,-0.1262716
65,969.0883,440.8345,2.1666666666666665,-0.20624207,-0.12820181
66,969.0275,441.30435,2.2,-0.20662944,-0.13119574
67,968.9516,441.8342,2.2333333333333334,-0.20711325,-0.13457197
68,968.7043,442.3445,2.2666666666666666,-0.20868917,-0.13782375
69,968.7531,442.77866,2.3,-0.20837803,-0.14059015
70,968.5293,443.02563,2.3333333333333335,-0.2098042,-0.14216392
71,968.415,443.3102,2.3666666666666667,-0.21053265,-0.14397725
72,968.1406,443.47,2.4,-0.21228085,-0.14499545
73,967.7046,443.1255,2.433333333333333,-0.21505931,-0.14280018
74,967.6662,443.71732,2.466666666666667,-0.21530394,-0.14657137
75,967.4312,444.02457,2.5,-0.2168013,-0.1485292
76,967.3143,444.2651,2.533333333333333,-0.21754646,-0.15006194
77,967.28467,444.33188,2.566666666666667,-0.2177351,-0.15048742
78,967.30884,444.73306,2.6,-0.21758108,-0.1530438
79,967.2832,445.0243,2.6333333333333333,-0.21774442,-0.15489954
80,967.2893,445.12878,2.6666666666666665,-0.21770553,-0.15556538
81,967.392,445.33444,2.7,-0.21705098,-0.15687585
82,967.7,445.5093,2.7333333333333334,-0.21508849,-0.15799011
83,968.238,445.6223,2.7666666666666666,-0.21166052,-0.1587102
84,968.51373,446.17078,2.8,-0.20990337,-0.16220504
85,968.7366,446.4418,2.8333333333333335,-0.20848343,-0.16393206
86,969.14667,446.13657,2.8666666666666667,-0.20587026,-0.16198705
87,970.1175,445.7405,2.9,-0.19968407,-0.15946335
88,970.60016,445.70016,2.933333333333333,-0.19660848,-0.15920627
