Frame,X_px,Y_px,Time_s,X_m,Y_m
1,253.00677,604.1848,0.03333333333333333,0.0,-0.0
2,253.52693,603.70337,0.06666666666666667,0.006196651,0.005735479
3,254.00175,602.9287,0.1,0.011853239,0.014964016
4,254.00494,601.99786,0.13333333333333333,0.01189123,0.026053239
5,253.92888,601.14014,0.16666666666666666,0.010985063,0.03627138
6,253.75786,600.2768,0.2,0.008947689,0.046556413
7,253.07152,599.5185,0.23333333333333334,0.00077128666,0.055590082
8,252.63109,598.81885,0.26666666666666666,-0.004475571,0.063925
9,252.12224,598.2682,0.3,-0.010537525,0.070485026
10,251.59471,597.82587,0.3333333333333333,-0.016821975,0.07575442
11,250.81929,597.5186,0.36666666666666664,-0.026059601,0.07941472
12,250.17653,597.1831,0.4,-0.033716843,0.083411664
13,249.07664,596.75146,0.43333333333333335,-0.04681981,0.088553816
14,247.77466,596.5307,0.4666666666666667,-0.062330432,0.09118379
15,246.80058,596.3946,0.5,-0.07393464,0.09280525
16,245.76003,596.77277,0.5333333333333333,-0.086330846,0.08830006
17,244.93407,597.0894,0.5666666666666667,-0.09617052,0.08452778
18,244.02647,597.662,0.6,-0.106982715,0.077706724
19,243.19417,598.28314,0.6333333333333333,-0.11689801,0.07030688
20,242.36665,598.9565,0.6666666666666666,-0.12675624,0.062285352
21,241.56763,599.18964,0.7,-0.13627507,0.059507776
22,239.94298,598.7974,0.7333333333333333,-0.15562958,0.06418021
23,237.214,598.68024,0.7666666666666667,-0.18813996,0.06557627
24,232.9984,597.29706,0.8,-0.23836066,0.08205414
25,227.0196,596.9086,0.8333333333333334,-0.30958626,0.0866815
26,219.95305,596.6405,0.8666666666666667,-0.3937705,0.08987571
27,213.59216,597.8738,0.9,-0.469548,0.07518364
28,208.16875,605.5812,0.9333333333333333,-0.5341574,-0.016634924
29,201.7215,615.5974,0.9666666666666667,-0.61096376,-0.13595878
31,751.7074,619.3806,1.0333333333333334,5.941042,-0.18102823
32,811.1986,620.4401,1.0666666666666667,6.6497636,-0.19365022
33,813.49005,622.1223,1.1,6.6770616,-0.21369022
34,848.9615,622.6943,1.1333333333333333,7.099634,-0.220504
35,847.8233,623.60767,1.1666666666666667,7.0860753,-0.23138528
36,846.3604,624.9274,1.2,7.068648,-0.24710767
37,844.806,626.2586,1.2333333333333334,7.0501304,-0.26296604
38,843.1865,627.41327,1.2666666666666666,7.030837,-0.2767216
39,841.2531,628.8985,1.3,7.0078044,-0.2944152
40,839.2211,630.4444,1.3333333333333333,6.9835973,-0.31283155
41,828.4837,634.68494,1.3666666666666667,6.8556814,-0.3633493
42,826.65955,636.4944,1.4,6.8339505,-0.3849053
43,825.2381,638.08026,1.4333333333333333,6.8170166,-0.40379792
44,823.85626,639.3483,1.4666666666666666,6.8005548,-0.41890445
45,888.08136,635.6258,1.5,7.565671,-0.37455776
46,886.82965,636.3811,1.5333333333333334,7.5507593,-0.3835558
47,972.4481,629.7709,1.5666666666666667,8.570736,-0.30480784
48,971.39526,630.55994,1.6,8.558193,-0.31420797
49,1109.4125,639.0117,1.6333333333333333,10.202398,-0.41489443
50,1108.3146,639.66266,1.6666666666666667,10.189319,-0.4226491
51,1107.1696,640.4237,1.7,10.175678,-0.4317155
52,1106.1487,641.2414,1.7333333333333334,10.163517,-0.44145665
53,1105.0115,641.90533,1.7666666666666666,10.149969,-0.44936618
54,1103.8435,642.83624,1.8,10.136055,-0.46045613
55,1102.8215,643.6342,1.8333333333333333,10.12388,-0.46996245
56,1101.7009,644.5043,1.8666666666666667,10.11053,-0.48032746
57,1100.7556,645.17285,1.9,10.099269,-0.48829228
58,1099.5673,645.77496,1.9333333333333333,10.085112,-0.49546525
59,1098.6027,646.53674,1.9666666666666666,10.073621,-0.5045404
60,1097.6448,647.3754,2.0,10.062209,-0.5145317
61,1096.8855,648.0517,2.033333333333333,10.053164,-0.5225881
62,1095.8273,648.70667,2.066666666666667,10.040557,-0.53039074
63,1094.9895,649.154,2.1,10.030577,-0.53571975
64,1094.0969,649.8505,2.1333333333333333,10.019943,-0.5440176
65,1093.1727,650.4009,2.1666666666666665,10.008933,-0.550574
66,1092.3782,651.00476,2.2,9.999468,-0.55776805
67,1016.93317,653.06476,2.2333333333333334,9.100688,-0.5823089
68,1016.1208,653.51404,2.2666666666666666,9.09101,-0.5876612
69,1015.5569,653.95966,2.3,9.084292,-0.59296983
70,1014.8503,654.2788,2.3333333333333335,9.075874,-0.59677196
71,1014.1973,654.5113,2.3666666666666667,9.068096,-0.5995415
72,1013.5249,654.8935,2.4,9.060085,-0.6040947
73,1012.9505,655.1076,2.433333333333333,9.053243,-0.6066454
74,1012.2734,655.29004,2.466666666666667,9.045176,-0.60881877
75,1011.7515,655.2984,2.5,9.0389595,-0.60891837
76,1011.4165,655.3305,2.533333333333333,9.034968,-0.60930085
77,1010.8738,655.36536,2.566666666666667,9.028502,-0.609716
78,1010.4387,655.5096,2.6,9.023319,-0.6114342
