,Frame,X_px,Y_px,Time_s,X_m,Y_m
0,1,247.38611,650.2076,0.03333333333333333,0.0,-0.0
1,2,235.23178,658.03033,0.06666666666666667,-0.08763909,-0.05640617
2,3,225.83191,667.56354,0.1,-0.15541711,-0.12514558
3,4,219.94162,670.3683,0.13333333333333333,-0.19788921,-0.14536929
